ORIGIN,DEST,COUNT
OH,IN,1.0
OH,LA,46.0
OH,MA,2853.0
OH,MD,1497.0
OH,MI,3192.0
OH,MN,2291.0
OH,MO,1058.0
OH,NC,5756.0
OH,NJ,3585.0
OH,NV,1715.0
OH,NY,10440.0
OH,PA,2298.0
OH,SC,461.0
OH,TN,1306.0
OH,TX,5961.0
OH,UT,6.0
OH,VA,6105.0
OH,WA,411.0
OH,WI,3.0
OK,AZ,2068.0
OK,CA,1027.0
OK,CO,4238.0
OK,FL,746.0
OK,GA,3126.0
OK,IL,3248.0
OK,MN,334.0
OK,MO,943.0
OK,NC,1312.0
OK,NE,1.0
OK,NV,1150.0
OK,NY,455.0
OK,TN,21.0
OK,TX,12924.0
OK,UT,1296.0
OK,VA,906.0
OK,WA,332.0
OR,AK,391.0
OR,AZ,4353.0
OR,CA,25092.0
OR,CO,5245.0
OR,FL,401.0
OR,GA,1152.0
OR,HI,1656.0
OR,IA,58.0
OR,ID,1315.0
OR,IL,2145.0
OR,MA,349.0
OR,MI,376.0
OR,MN,1308.0
OR,MO,132.0
OR,MT,80.0
OR,NC,205.0
OR,NJ,811.0
OR,NM,260.0
OR,NV,4277.0
OR,NY,1017.0
OR,OR,1190.0
OR,TX,2959.0
OR,UT,4406.0
OR,VA,566.0
OR,WA,17567.0
PA,AL,477.0
PA,AZ,2454.0
PA,CA,4304.0
PA,CO,3312.0
PA,CT,828.0
PA,FL,25288.0
PA,GA,9159.0
PA,IL,11071.0
PA,IN,1181.0
PA,KY,1310.0
PA,LA,1030.0
PA,MA,6411.0
PA,MD,981.0
PA,ME,1105.0
PA,MI,5262.0
PA,MN,2218.0
PA,MO,2308.0
PA,NC,10710.0
PA,NH,289.0
PA,NJ,2092.0
PA,NV,2184.0
PA,NY,7260.0
PA,OH,2295.0
PA,PA,2333.0
PA,PR,1639.0
PA,RI,810.0
PA,SC,2498.0
PA,TN,3606.0
PA,TX,7599.0
PA,UT,338.0
PA,VA,4690.0
PA,VI,147.0
PA,VT,539.0
PA,WA,1299.0
PA,WI,773.0
PA,WV,210.0
PR,CT,606.0
PR,FL,13327.0
PR,GA,1175.0
PR,IL,640.0
PR,MA,1430.0
PR,MD,1028.0
PR,MN,82.0
PR,MO,30.0
PR,NC,907.0
PR,NJ,2234.0
PR,NY,3728.0
PR,PA,1642.0
PR,TN,40.0
PR,TX,1499.0
PR,VA,728.0
PR,VI,577.0
RI,CO,51.0
RI,FL,2706.0
RI,GA,999.0
RI,IL,1495.0
RI,KY,12.0
RI,MD,1402.0
RI,MI,815.0
RI,MN,60.0
RI,NC,1318.0
RI,NJ,705.0
RI,NY,943.0
RI,PA,810.0
RI,TN,56.0
RI,VA,2301.0
SC,AR,1.0
SC,CA,119.0
SC,CO,969.0
SC,CT,467.0
SC,FL,2398.0
SC,GA,9436.0
SC,IL,3930.0
SC,IN,88.0
SC,KY,244.0
SC,MA,1533.0
SC,MD,2493.0
SC,MI,1638.0
SC,MN,265.0
SC,MO,96.0
SC,NC,8008.0
SC,NH,197.0
SC,NJ,3689.0
SC,NY,6446.0
SC,OH,460.0
SC,PA,2496.0
SC,TN,1350.0
SC,TX,4713.0
SC,VA,5149.0
SC,WA,306.0
SC,WI,4.0
SC,WV,60.0
SD,AZ,893.0
SD,CA,123.0
SD,CO,2757.0
SD,FL,313.0
SD,GA,334.0
SD,IL,1644.0
SD,MN,3203.0
SD,NC,156.0
SD,NJ,13.0
SD,NV,354.0
SD,NY,13.0
SD,TN,70.0
SD,TX,1598.0
SD,UT,116.0
TN,AR,69.0
TN,AZ,2003.0
TN,CA,3693.0
TN,CO,4804.0
TN,CT,330.0
TN,FL,15430.0
TN,GA,12932.0
TN,IA,208.0
TN,IL,9613.0
TN,LA,941.0
TN,MA,2366.0
TN,MD,1320.0
TN,ME,11.0
TN,MI,3764.0
TN,MN,2466.0
TN,MO,2004.0
TN,MT,113.0
TN,NC,8647.0
TN,ND,96.0
TN,NE,12.0
TN,NH,14.0
TN,NJ,2639.0
TN,NV,1950.0
TN,NY,9250.0
TN,OH,1307.0
TN,OK,21.0
TN,PA,3614.0
TN,PR,40.0
TN,RI,56.0
TN,SC,1353.0
TN,SD,70.0
TN,TX,17126.0
TN,UT,863.0
